notarealmovie, fakegenre, fakedirector, fakeactor
2:13,Horror,Charles Adelman,Teri Polo
11:14,Comedy,Greg Marcks,Henry Thomas
3,Comedy,Tom Tykwer,Devid Striesow
9,Action,Shane Acker,Martin Landau
21,Crime,Robert Luketic,Kevin Spacey
42,Biography,Brian Helgeland,Harrison Ford
54,Drama,Mark Christopher,Salma Hayek
300,Action,Zack Snyder,Gerard Butler
1408,Fantasy,Mikael Håfström,Drew Powell
1776,Drama,Peter H. Hunt,Blythe Danner
1911,Action,Li Zhang,Bingbing Li
1941,Action,Steven Spielberg,Christopher Lee
1982,Drama,Tommy Oliver,Bokeem Woodbine
2012,Action,Roland Emmerich,Oliver Platt
2046,Drama,Kar-Wai Wong,Li Gong
#Horror,Drama,Tara Subkoff,Timothy Hutton
[Rec],Horror,Jaume Balagueró,Manuela Velasco
[Rec] 2,Horror,Jaume Balagueró,Jonathan D. Mellor
10 Cloverfield Lane,Drama,Dan Trachtenberg,Bradley Cooper
10 Days in a Madhouse,Drama,Timothy Hines,Christopher Lambert
10 Things I Hate About You,Comedy,Gil Junger,Joseph Gordon-Levitt
10000 B.C.            ,Comedy,Christopher Barnard,Mathew Buck
102 Dalmatians,Adventure,Kevin Lima,Ioan Gruffudd
10th & Wolf,Crime,Robert Moresco,Brian Dennehy
12 Angry Men,Crime,Sidney Lumet,Jack Warden
12 Rounds,Action,Renny Harlin,Taylor Cole
12 Years a Slave,Biography,Steve McQueen,Quvenzhané Wallis
127 Hours,Adventure,Danny Boyle,James Franco
13 Going on 30,Comedy,Gary Winick,Jennifer Garner
15 Minutes,Action,John Herzfeld,Robert De Niro
16 Blocks,Action,Richard Donner,Bruce Willis
16 to Life,Comedy,Becky Smith,Will Rothhaar
17 Again,Comedy,Burr Steers,Matthew Perry
2 Fast 2 Furious,Action,John Singleton,Paul Walker
2 Guns,Action,Baltasar Kormákur,Denzel Washington
20 Dates,Biography,Myles Berkowitz,Tia Carrere
20 Feet from Stardom,Documentary,Morgan Neville,Sheryl Crow
200 Cigarettes,Comedy,Risa Bramon Garcia,Janeane Garofalo
20000 Leagues Under the Sea,Adventure,Richard Fleischer,James Mason
20000 Leagues Under the Sea,Adventure,Richard Fleischer,James Mason
2001: A Space Odyssey,Adventure,Stanley Kubrick,Keir Dullea
2016: Obama's America,Documentary,Dinesh D'Souza,Barack Obama
21 & Over,Comedy,Jon Lucas,Justin Chon
21 Grams,Drama,Alejandro G. Iñárritu,Naomi Watts
21 Jump Street,Action,Phil Lord,Channing Tatum
22 Jump Street,Action,Phil Lord,Channing Tatum
24 7: Twenty Four Seven,Comedy,Shane Meadows,Bob Hoskins
25th Hour,Drama,Spike Lee,Philip Seymour Hoffman
27 Dresses,Comedy,Anne Fletcher,Judy Greer
28 Days,Comedy,Betty Thomas,Steve Buscemi
28 Days Later...,Drama,Danny Boyle,Noah Huntley
28 Weeks Later,Drama,Juan Carlos Fresnadillo,Jeremy Renner
3 Backyards,Drama,Eric Mendelsohn,Embeth Davidtz
3 Days to Kill,Action,McG,Connie Nielsen
3 Men and a Baby,Comedy,Leonard Nimoy,Tom Selleck
3 Ninjas Kick Back,Action,Charles T. Kanganis,Victor Wong
3 Strikes,Comedy,DJ Pooh,Mo'Nique
3:10 to Yuma,Adventure,James Mangold,Christian Bale
30 Days of Night,Horror,David Slade,Danny Huston
30 Minutes or Less,Action,Ruben Fleischer,Bianca Kajlich
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Comedy,Craig Moss,French Stewart
300: Rise of an Empire,Action,Noam Murro,Eva Green
3000 Miles to Graceland,Action,Demian Lichtenstein,Jon Lovitz
4 Months 3 Weeks and 2 Days,Drama,Cristian Mungiu,Anamaria Marinca
